"id","sex","y_cont_qtl_snp","y_cont_qtl_mh","tbv_qtl_snp","tbv_qtl_mh"
"IND001","M",-1.11336798271031,0.845850922445257,-1.74074179484771,-0.517921908800993
"IND002","F",-3.4564618270626,0.146762202647147,-1.88185741296409,0.127709931077596
"IND003","M",-2.12478593068093,-1.47280591027488,-2.30370598121553,-0.333156504408602
"IND004","M",0.760347995690036,-0.579648682257967,-0.369725804862786,-1.15673994520763
"IND005","M",-1.65624152284066,-0.457599981250166,-1.41703102384693,0.0313636284346683
"IND006","F",-1.77879551555493,-0.31220897331579,-1.50136271744914,1.01753249881962
"IND007","F",-0.138570876017092,2.17250188771725,-0.525005290855687,1.25600865870318
"IND008","F",-0.722184198495853,0.0448436845160886,-0.661780081361944,0.207798680776153
"IND009","F",-0.587480953328718,-0.230899951135844,0.098698807836081,1.37121869387569
"IND010","M",-1.84059571316905,0.316031915119329,-0.599346499177452,0.441385628528967
"IND011","F",0.60604639823944,0.568313315647618,-1.19771335561084,0.206372333941857
"IND012","M",-1.84534055000884,-0.133197392213128,-1.54335524155175,-0.519266523874714
"IND013","F",-1.4594747669594,-1.23556142649435,-1.10635650916225,-0.505693541953603
"IND014","F",1.1408733669536,-1.1437852382448,0.0339358739448926,-0.439180628865308
"IND015","M",-1.06200212035558,-0.368571936470027,-2.29321407544872,-0.716243191593001
"IND016","M",1.50040289281272,0.252779417179833,-1.22879341157876,-0.591171991950036
"IND017","F",0.207281596061643,1.10365688814844,-1.261996195703,-0.535704615378473
"IND018","M",-0.72608705144195,0.516443643680425,0.26052553432115,1.20617645779127
"IND019","M",-0.0051095112344316,3.03846612291944,-0.872633558034302,-0.703597875336506
"IND020","M",-0.375007914318072,1.80223335466956,-0.318915653813799,-0.106030156553174
"IND021","M",0.860097759540204,0.239820441455127,0.354252413574176,-0.525913536586449
"IND022","F",0.222920542413418,0.823688430722725,-0.511327862514488,0.409263542265938
"IND023","M",-1.21036599825625,-0.438067822136425,-1.51195033777948,-0.21851321049186
"IND024","F",0.325875368752377,0.115555826179278,0.335969399161385,0.772905090732709
"IND025","F",1.69559512260383,-0.401143526470994,1.11279923207894,-0.367079657328982
"IND026","M",0.535115994381197,-1.23486610189573,0.163516757209803,0.313483230708307
"IND027","F",-1.63008595394684,-0.626863537411181,-0.235703568082785,-0.103115613992466
"IND028","F",0.231244441017197,1.02038499508144,0.316326153369205,-0.167643142263517
"IND029","M",-0.767253018962284,2.81676699341407,-0.74404524556845,0.591292173827559
"IND030","M",-0.591880607472125,0.989698465343655,-0.480246233529367,0.0964802519404098
"IND031","F",2.31373870677078,1.02826413206735,0.569506315902515,1.09681882829831
"IND032","F",1.31634167197178,1.12812110198542,0.859786159234309,-0.522613766899964
"IND033","F",0.931097976699081,1.94320427266417,1.04927424696877,0.51724775953153
"IND034","F",1.10083319636335,-0.918570619247163,-0.574578675770136,0.515312412495152
"IND035","M",-1.15435388916408,-1.12799017624431,-0.660279591173231,-1.96360116951731
"IND036","F",-1.22730444059971,-0.622227543975693,-1.18669510696627,-1.29566763837484
